time,concentration
0.0,0.0
5.402701350675338,1.47381083678782e-29
10.805402701350676,5.264467310733043e-28
16.208104052026016,9.378434468552937e-27
21.610805402701352,1.112622514769299e-25
27.01350675337669,9.903867692651486e-25
32.41620810405203,7.065983540889286e-24
37.81890945472737,4.215132970557048e-23
43.221610805402705,2.165545069808468e-22
48.62431215607804,9.794466008613344e-22
54.02701350675338,3.96683574871807e-21
59.42971485742872,1.4583718105283532e-20
64.83241620810406,4.92144635620803e-20
70.2351175587794,1.5387014763766943e-19
75.63781890945474,4.492301675598903e-19
81.04052026013007,1.2329923391696181e-18
86.44322161080541,3.200039266870585e-18
91.84592296148075,7.893211723329413e-18
97.24862431215608,1.8585915034369957e-17
102.65132566283143,4.1941631077634015e-17
108.05402701350675,9.102127065727612e-17
113.4567283641821,1.905527859022945e-16
118.85942971485744,3.858848761650181e-16
124.26213106553277,7.577766200354713e-16
129.66483241620813,1.446199972427379e-15
135.06753376688346,2.6877399525881124e-15
140.4702351175588,4.873071806395396e-15
145.87293646823412,8.633495921749795e-15
151.27563781890947,1.4968757037453157e-14
156.6783391695848,2.5432517852478233e-14
162.08104052026013,4.239706734035557e-14
167.4837418709355,6.942530340170684e-14
172.88644322161082,1.1178593191390571e-13
178.28914457228615,1.7715737242300097e-13
183.6918459229615,2.7657726272881293e-13
189.09454727363683,4.2570792013113477e-13
194.49724862431216,6.465038533016805e-13
199.89994997498752,9.693856258102639e-13
205.30265132566285,1.436045238808932e-12
210.70535267633818,2.1030318984038997e-12
216.1080540270135,3.0462937138033956e-12
221.51075537768887,4.366880660607057e-12
226.9134567283642,6.198047134577417e-12
232.31615807903952,8.714028675584676e-12
237.71885942971488,1.2140806981841878e-11
243.1215607803902,1.6769220142589956e-11
248.52426213106554,2.2970821030816363e-11
253.9269634817409,3.1216935908400234e-11
259.32966483241626,4.2101427349183424e-11
264.7323661830916,5.6367720378075084e-11
270.1350675337669,7.494070800598298e-11
275.53776888444224,9.8964211813889e-11
280.9404702351176,1.2984473456219e-10
286.3431715857929,1.6930230458782777e-10
291.74587293646823,2.1942927557575042e-10
297.1485742871436,2.8275800969002476e-10
302.55127563781895,3.6233843652770557e-10
307.9539769884943,4.618265443911466e-10
313.3566783391696,5.855849234140217e-10
318.75937968984493,7.387965415567186e-10
324.16208104052026,9.275929938288969e-10
329.56478239119565,1.1591985217144494e-09
334.967483741871,1.4420911530791208e-09
340.3701850925463,1.7861823622498747e-09
345.77288644322164,2.2030166948945477e-09
351.17558779389697,2.7059928422422264e-09
356.5782891445723,3.310607683532958e-09
361.9809904952476,4.034724843859254e-09
367.383691845923,4.898869336282853e-09
372.78639319659834,5.926549871835282e-09
378.18909454727367,7.144610428337235e-09
383.591795897949,8.583612668540819e-09
388.9944972486243,1.0278250789598743e-08
394.39719859929966,1.2267800369033943e-08
399.79989994997504,1.4596602747013117e-08
405.2026013006504,1.7314586450662953e-08
410.6053026513257,2.047782712330989e-08
416.00800400200103,2.4149147369829296e-08
421.41070535267636,2.8398757868773276e-08
426.8134067033517,3.330494103267651e-08
432.216108054027,3.895477842004505e-08
437.6188094047024,4.544492301619312e-08
443.02151075537773,5.288241740554338e-08
448.42421210605306,6.138555875553207e-08
453.8269134567284,7.10848114221966e-08
459.2296148074037,8.212376787025211e-08
464.63231615807905,9.46601584764074e-08
470.03501750875444,1.0886691065429858e-07
475.43771885942976,1.249332576032287e-07
480.8404202101051,1.430658968414324e-07
486.2431215607804,1.634901985384003e-07
491.64582291145575,1.8645146351048568e-07
497.0485242621311,2.1221623059019915e-07
502.45122561280647,2.4107363292288816e-07
507.8539269634818,2.7333680258556206e-07
513.2566283141571,3.093443227620981e-07
518.6593296648325,3.4946172654761423e-07
524.0620310155078,3.940830412930887e-07
529.4647323661832,4.436323772399905e-07
534.8674337168585,4.985655590344286e-07
540.2701350675338,5.593717985517671e-07
545.6728364182092,6.265754073064199e-07
