henry const\disper coef,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1.0,226.91737086581193,211.5394038363796,201.71778529328586,195.5594210580199,191.2174075219583,187.7302838544955,184.8751210525648,183.03411094922876,181.54086189777138
2.0,152.81256349932994,131.99530552676617,123.37821342155729,119.96719107329233,119.22275815752499,119.86812545307147,120.82233113961416,122.11462490657324,123.9048357068178
3.0,140.72443829767553,120.37976268482353,113.57817310867595,108.6920746807071,105.32430545575492,102.95257756509629,101.93937506151838,101.41893117450385,101.73733296527996
4.0,152.49422868967685,134.3288736901412,129.35874210321236,125.93688288601217,123.04717886843324,120.54377585222332,118.41305823516382,116.50405970766622,114.91122103180167
5.0,167.5280219425235,148.14987072898137,137.9265230297034,135.1262919926924,133.16470995792295,131.45379089446075,129.9007703824834,128.42286381901476,127.00096112133215
6.0,186.3422385729734,171.52143375477692,162.48288211738566,155.96292008173057,151.24333503768082,147.7335970661071,144.9882172699102,142.76393805723364,140.83663858451155
7.0,200.71253686452883,188.8810362471451,180.7931041527073,174.5596436003016,169.4134219158134,165.14031952120803,161.61413872924214,158.47458105141578,155.79618686479918
8.0,206.1537244304648,198.33444788782037,192.11420956261475,186.77419971469115,182.15684239559513,177.9737923584022,174.39076187890768,171.16063777938515,168.21362170568585
9.0,209.2732975339962,204.10804572429734,199.37977846173152,194.91335550375922,190.8316629229535,187.1088769063136,183.7268666657747,180.6136656313636,177.69223936186782
