0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.141882830482293,0.24904973589221907,0.007618111466277378,0.00023302824275125058,7.128034573937621e-06,2.1803742021728565e-07,6.6694845713616265e-09,2.0401096473853944e-10,6.240433318080599e-12,1.9088683810362745e-13,5.83898314490889e-15,1.7860699305009983e-16,5.46335846066159e-18,1.6711711652471547e-19,5.111897898816134e-21,1.563663894599099e-22,4.783046969383076e-24,1.4630726200396217e-25,4.4753511834856565e-27,1.3689524321071682e-28,4.187449620238583e-30,1.2808870425867035e-31,3.91806890747269e-33,1.1984869432907163e-34,3.666017589682569e-36,1.121387683286783e-37,3.430180858816379e-39,1.0492492141542386e-40,3.226820960223952e-42,3.226820960223952e-42
7.344332232013872,0.7049273561335875,0.036253776711522634,0.0015583338792404284,6.141330948408187e-05,2.2990229914321405e-06,8.31857586987386e-08,2.937965278253453e-09,1.0190278935714848e-10,3.4851863099936313e-12,1.1786741126241373e-13,3.9498428274761845e-15,1.3135629325870093e-16,4.340293036572427e-18,1.4262189830553138e-19,4.664161454128083e-21,1.5189445286105435e-22,4.9283987154158484e-24,1.5938376305645526e-25,5.139336723009751e-27,1.652808892233825e-28,5.30273948895069e-30,1.6975968948275498e-31,5.42384999607978e-33,1.7297824231175728e-34,5.507433380311647e-36,1.7508015730390358e-37,5.557822332491126e-39,1.7717831444835342e-40,1.771783144483534e-40
7.522125353894382,1.109374554494475,0.08916086142489157,0.005283215010087341,0.0002662963118738643,1.2158823309481903e-05,5.194828566264233e-07,2.116266668452209e-08,8.318203659527921e-10,3.1797245033009556e-11,1.1886789407802012e-12,4.3632818526017586e-14,1.5774503498456096e-15,5.629994044234168e-17,1.9873237511643103e-18,6.948272228994529e-20,2.4090834927203524e-21,8.291276455632602e-23,2.83492697752746e-24,9.636369219060651e-26,3.2583007526482984e-27,1.0964623920185282e-28,3.673753141670615e-30,1.2260383159934623e-31,4.0768018866955736e-33,1.3510862233693097e-34,4.4638154011506286e-36,1.470581007737407e-37,4.8597723780677706e-39,4.8597723780677706e-39
7.587545370593449,1.4927454121767971,0.16240192402734102,0.01260116678568941,0.0007943391586675566,4.3733602906894564e-05,2.192034490147399e-06,1.0259174330969463e-07,4.557838785612716e-09,1.943864026801022e-10,8.022343712532957e-12,3.222657271830816e-13,1.2656996207815412e-14,4.876865189917177e-16,1.8485020182715306e-17,6.90735204030035e-19,2.5490840776854763e-20,9.304042879750503e-22,3.3628186044171163e-23,1.2048295317889315e-24,4.2827022517206246e-26,1.5114925243455687e-27,5.2999464469e-29,1.847392830498959e-30,6.404478170560241e-32,2.2091934431325683e-33,7.585361724316024e-35,2.5933460830925575e-36,8.883820486462266e-38,8.883820486462265e-38
7.660337285163926,1.8535605687275079,0.25321861029262394,0.024416895573743186,0.0018700264496684484,0.00012211199365854336,7.108521932818666e-06,3.797559301125427e-07,1.8986592322241637e-08,9.006891942139231e-10,4.094591805249358e-11,1.7971055518793352e-12,7.65809853632506e-14,3.1824934928672837e-15,1.2942937806103386e-16,5.165853596291742e-18,2.0281346173448443e-19,7.847400794782149e-21,2.9972489966225323e-22,1.1315499880854788e-23,4.227446078318836e-25,1.5644617254147211e-26,5.739917841685159e-28,2.08941023715069e-29,7.550965497227458e-31,2.7107639096825783e-32,9.671915313588458e-34,3.431327777904776e-35,1.2183862272754566e-36,1.2183862272754563e-36
7.727701239525103,2.19368898273274,0.3590724750202833,0.04141043122449693,0.0037504447221669377,0.00028533077760355656,1.9064610240244017e-05,1.1532559189427307e-06,6.45238979388541e-08,3.3908436396872376e-09,1.692934893047715e-10,8.099661157019984e-12,3.73838021128299e-13,1.6732786666764847e-14,7.293611444533041e-16,3.106588292332447e-17,1.2965968407140897e-18,5.3151392522884386e-20,2.144169638782483e-21,8.526200153393802e-23,3.346697189664942e-24,1.298282496978824e-25,4.9827718703794785e-27,1.8937409992814984e-28,7.132927266308945e-30,2.6645338945582534e-31,9.877669701953213e-33,3.635898993693078e-34,1.338040900047328e-35,1.3380409000473276e-35
7.791357113538922,2.514499277631667,0.4777138921999245,0.06406919146150283,0.006710312192491149,0.0005849995550511526,4.4328424975013743e-05,3.0101348683587537e-06,1.8727347761688173e-07,1.085100090980442e-08,5.92847156127115e-10,3.0834174058526884e-11,1.5380729826684167e-12,7.402035501796341e-14,3.4532723469911707e-15,1.5678741385188765e-16,6.950127502926686e-18,3.016093001301518e-19,1.2842583838563349e-20,5.375927661102289e-22,2.215977651095971e-23,9.007568106782825e-25,3.6150795895922096e-26,1.4340568886526978e-27,5.628156929082811e-29,2.1871683227973953e-30,8.422446434320133e-32,3.216057342025007e-33,1.2264452114509824e-34,1.2264452114509822e-34
7.85140686448202,2.81729343539118,0.6071418922503955,0.09271846052121317,0.011030004695716073,0.0010860636127822021,9.228893141677697e-05,6.974648791545385e-06,4.793456872239371e-07,3.0468145357486876e-08,1.8144490576723998e-09,1.0226965519761174e-10,5.499747901265348e-12,2.8401291360669166e-13,1.4158426940947659e-14,6.843075502970785e-16,3.218163430137458e-17,1.4770504393820157e-18,6.633183313026734e-20,2.921019093765252e-21,1.2637055620381384e-22,5.3797286835034905e-24,2.2567877750372397e-25,9.340576609690697e-27,3.8184036427152445e-28,1.5432393042656897e-29,6.171626468834201e-31,2.4440688741253586e-32,9.656460019843056e-34,9.656460019843056e-34
7.908107663665762,3.103269488065673,0.7455793362812349,0.12754756070156478,0.0169861729447131,0.001865937489020542,0.00017602554674411839,1.4685669821019504e-05,1.107766351106659e-06,7.68445134570491e-08,4.96763473146506e-09,3.0243020881923417e-10,1.7486586185631546e-11,9.668654104290355e-13,5.141047488839086e-14,2.6411165432036592e-15,1.3160393202871134e-16,6.381545865821696e-18,3.0197799589573174e-19,1.397846582104175e-20,6.342752367817039e-22,2.8262502812295234e-23,1.238624402108032e-24,5.346420088079832e-26,2.2756675269939556e-27,9.561911566683699e-29,3.96997139088279e-30,1.6300842730174235e-31,6.670990309407098e-33,6.670990309407098e-33
